tg,tf
CXCL2,BATF3
GLIPR1,BATF3
CASP4,BATF3
CASP1,BATF3
EMILIN2,BATF3
PPARG,BATF3
CD274,BATF3
IFI16,BATF3
GBP2,BATF3
GBP1,BATF3
GBP3,BATF3
CD74,BATF3
GCH1,BATF3
MAFB,BATF3
CXCL2,BATF3
GLIPR1,BATF3
CASP4,BATF3
CASP1,BATF3
EMILIN2,BATF3
PPARG,BATF3
CD274,BATF3
IFI16,BATF3
GBP2,BATF3
GBP1,BATF3
GBP3,BATF3
CD74,BATF3
GCH1,BATF3
MAFB,BATF3
IFITM3,NR4A2
IFITM1,NR4A2
TNC,NR4A2
AHR,NR4A2
ALCAM,NR4A2
NAMPT,NR4A2
C3AR1,NR4A2
JUNB,NR4A2
IER3,NR4A2
SEMA6B,NR4A2
MYLIP,NR4A2
TRIB2,NR4A2
GPM6A,NR4A2
RTN1,NR4A2
ADRB2,NR4A2
FOXO1,NR4A2
PMAIP1,NR4A2
HIVEP2,NR4A2
TIPARP,NR4A2
BDNF,NR4A2
GADD45G,NR4A2
MAFB,NR4A2
BCL3,NR4A2
BHLHE40,NR4A2
CPE,NR4A2
CSRNP1,NR4A2
PTPRU,NR4A2
BTG2,NR4A2
BTG1,NR4A2
TNFAIP3,NR4A2
CXCL2,NR4A2
NFKBIZ,NR4A2
PDE4B,NR4A2
KIF1A,NR4A2
DUSP4,NR4A2
DUSP5,NR4A2
DUSP2,NR4A2
TSC22D3,NR4A2
PLAUR,NR4A2
ELOVL6,NR4A2
DUSP6,NR4A2
DNAJC6,NR4A2
IRF1,NR4A2
PELI1,NR4A2
HBEGF,NR4A2
HLA-DQB1,NR4A2
CEBPD,NR4A2
RELB,NR4A2
GBP2,NR4A2
CD74,NR4A2
GCH1,NR4A2
LGI3,NR4A2
DHRS3,NR4A2
VEGFA,NR4A2
PPP2R2C,NR4A2
NFIA,NR4A2
CXCL8,NR4A2
IRS2,NR4A2
EDN1,NR4A2
DDR2,NR4A2
CEBPB,NR4A2
JAG1,NR4A2
KLF2,NR4A2
RGS2,NR4A2
ZFP36,NR4A2
PIM3,NR4A2
IER5,NR4A2
FRMD5,NR4A2
HECA,NR4A2
ATF3,NR4A2
TPPP,NR4A2
SLC38A2,NR4A2
MCL1,NR4A2
GADD45B,NR4A2
NFATC1,NR4A2
FOSL2,NR4A2
EIF1,NR4A2
NFKBIA,NR4A2
BCL6,NR4A2
SCML2,NR4A2
HMGCS1,NR4A2
DUSP1,NR4A2
NCOA3,NR4A2
PDE4D,NR4A2
LDLR,NR4A2
GDF15,NR4A2
IGIP,NR4A2
STK17B,NR4A2
KLF9,NR4A2
OTUD1,NR4A2
GEM,NR4A2
EREG,NR4A2
SMAD7,NR4A2
KLF5,NR4A2
TRIP12,NR4A2
IFITM3,NR4A2
IFITM1,NR4A2
TNC,NR4A2
AHR,NR4A2
ALCAM,NR4A2
NAMPT,NR4A2
C3AR1,NR4A2
JUNB,NR4A2
IER3,NR4A2
SEMA6B,NR4A2
MYLIP,NR4A2
TRIB2,NR4A2
GPM6A,NR4A2
RTN1,NR4A2
ADRB2,NR4A2
FOXO1,NR4A2
PMAIP1,NR4A2
HIVEP2,NR4A2
TIPARP,NR4A2
BDNF,NR4A2
GADD45G,NR4A2
MAFB,NR4A2
BCL3,NR4A2
BHLHE40,NR4A2
CPE,NR4A2
CSRNP1,NR4A2
PTPRU,NR4A2
BTG2,NR4A2
BTG1,NR4A2
TNFAIP3,NR4A2
CXCL2,NR4A2
NFKBIZ,NR4A2
PDE4B,NR4A2
KIF1A,NR4A2
DUSP4,NR4A2
DUSP5,NR4A2
DUSP2,NR4A2
TSC22D3,NR4A2
PLAUR,NR4A2
ELOVL6,NR4A2
DUSP6,NR4A2
DNAJC6,NR4A2
IRF1,NR4A2
PELI1,NR4A2
HBEGF,NR4A2
HLA-DQB1,NR4A2
CEBPD,NR4A2
RELB,NR4A2
GBP2,NR4A2
CD74,NR4A2
GCH1,NR4A2
LGI3,NR4A2
DHRS3,NR4A2
VEGFA,NR4A2
PPP2R2C,NR4A2
NFIA,NR4A2
CXCL8,NR4A2
IRS2,NR4A2
EDN1,NR4A2
DDR2,NR4A2
CEBPB,NR4A2
JAG1,NR4A2
KLF2,NR4A2
RGS2,NR4A2
ZFP36,NR4A2
PIM3,NR4A2
IER5,NR4A2
FRMD5,NR4A2
HECA,NR4A2
ATF3,NR4A2
TPPP,NR4A2
SLC38A2,NR4A2
MCL1,NR4A2
GADD45B,NR4A2
NFATC1,NR4A2
FOSL2,NR4A2
EIF1,NR4A2
NFKBIA,NR4A2
BCL6,NR4A2
SCML2,NR4A2
HMGCS1,NR4A2
DUSP1,NR4A2
NCOA3,NR4A2
PDE4D,NR4A2
LDLR,NR4A2
GDF15,NR4A2
IGIP,NR4A2
STK17B,NR4A2
KLF9,NR4A2
OTUD1,NR4A2
GEM,NR4A2
EREG,NR4A2
SMAD7,NR4A2
KLF5,NR4A2
TRIP12,NR4A2
IFITM3,IRF1
CCDC71L,IRF1
EHF,IRF1
IFITM1,IRF1
CSF1,IRF1
NCF2,IRF1
FAM89A,IRF1
TNC,IRF1
DDX60L,IRF1
DEPTOR,IRF1
NAMPT,IRF1
SCN9A,IRF1
TNFSF10,IRF1
C3AR1,IRF1
BBX,IRF1
JUNB,IRF1
HIST1H2AC,IRF1
HLA-J,IRF1
MYLIP,IRF1
F2R,IRF1
HLA-B,IRF1
HLA-C,IRF1
S100A6,IRF1
CARD16,IRF1
CD274,IRF1
HS3ST3A1,IRF1
IGSF3,IRF1
TMTC1,IRF1
DDX60,IRF1
FOXO1,IRF1
SOCS3,IRF1
ATXN1,IRF1
PMAIP1,IRF1
LONRF3,IRF1
TIPARP,IRF1
BDNF,IRF1
ANKEF1,IRF1
PARP14,IRF1
ACER2,IRF1
MAFB,IRF1
AMACR,IRF1
BAMBI,IRF1
BCL3,IRF1
BHLHE40,IRF1
CSRNP1,IRF1
BTG2,IRF1
BTG1,IRF1
SLC2A3,IRF1
RCSD1,IRF1
CXCL2,IRF1
IRF2BPL,IRF1
IFIH1,IRF1
CASP4,IRF1
NFKBIZ,IRF1
ITGAX,IRF1
CASP1,IRF1
PDE4B,IRF1
PDE4A,IRF1
DUSP4,IRF1
TSC22D3,IRF1
TESC,IRF1
PLAUR,IRF1
DUSP6,IRF1
RAP2C,IRF1
CDCP1,IRF1
MMP17,IRF1
PELI1,IRF1
VWA1,IRF1
NLRC5,IRF1
PPM1K,IRF1
RELB,IRF1
HIRA,IRF1
IFI16,IRF1
GBP2,IRF1
APOL1,IRF1
E2F5,IRF1
GBP1,IRF1
ZNF462,IRF1
GCH1,IRF1
SMOX,IRF1
SEMA4B,IRF1
MID1IP1,IRF1
TPD52L1,IRF1
DHRS3,IRF1
PSMB9,IRF1
VEGFA,IRF1
TMEM158,IRF1
TSPAN13,IRF1
NFIA,IRF1
RPL13AP5,IRF1
TMEM229B,IRF1
TMEM167A,IRF1
UCA1,IRF1
SLC1A2,IRF1
N4BP3,IRF1
SKIL,IRF1
JAG1,IRF1
GIPC3,IRF1
CYP1A1,IRF1
SNAP25,IRF1
CXCL8,IRF1
COX7C,IRF1
AASS,IRF1
EDN1,IRF1
SHROOM3,IRF1
SERPINB9,IRF1
SERPINB6,IRF1
SLCO4A1,IRF1
TLR5,IRF1
DDR2,IRF1
CEBPB,IRF1
NQO2,IRF1
KLF2,IRF1
