symbol	R603	R607	R614	R621
WASH7P	1	1	1	0
RP11-34P13.13	1	0	0	0
AP006222.2	0	1	0	0
MTND2P28	0	0	1	0
RP5-857K21.6	0	0	0	0
RP5-857K21.7	0	1	0	0
MTATP8P1	0	0	0	0
MTATP6P1	0	0	0	0
RP5-857K21.11	0	1	0	0
RP11-206L10.9	0	0	0	0
LINC00115	0	0	0	0
LINC01128	0	0	0	0
RP11-54O7.16	0	1	1	0
RP11-54O7.1	0	1	0	0
RP11-54O7.3	1	0	1	1
SAMD11	1	0	0	1
NOC2L	0	0	0	0
KLHL17	1	0	0	0
PLEKHN1	0	1	0	0
PERM1	1	1	0	1
RP11-54O7.17	1	0	0	0
HES4	1	1	1	0
ISG15	1	0	0	0
AGRN	0	0	0	0
RP11-465B22.3	0	0	1	0
C1orf159	0	0	0	0
TNFRSF18	1	0	0	0
SDF4	1	0	0	0
B3GALT6	1	0	0	0
FAM132A	1	0	0	0
RP5-902P8.12	1	0	0	0
UBE2J2	0	0	0	0
RP5-902P8.10	1	1	0	1
SCNN1D	1	1	0	0
ACAP3	0	0	0	0
PUSL1	0	0	0	0
CPSF3L	0	0	0	0
RP5-890O3.9	0	0	0	0
CPTP	0	0	0	0
DVL1	0	0	0	0
MXRA8	1	0	0	0
AURKAIP1	0	0	0	0
CCNL2	0	0	0	0
RP4-758J18.2	0	0	0	0
MRPL20	0	0	0	0
RP4-758J18.13	0	0	0	0
ANKRD65	1	1	0	0
RP4-758J18.10	1	1	1	0
VWA1	0	0	1	0
ATAD3C	0	1	1	1
ATAD3B	0	0	0	0
ATAD3A	0	0	0	0
TMEM240	1	0	0	0
SSU72	0	0	0	0
RP5-832C2.5	0	1	0	0
C1orf233	0	0	0	0
RP11-345P4.9	0	0	0	0
MIB2	0	0	0	0
MMP23B	1	1	0	0
CDK11B	0	0	0	0
SLC35E2B	0	0	0	0
CDK11A	0	0	0	0
RP1-283E3.8	0	0	0	0
SLC35E2	0	0	0	0
NADK	0	0	0	0
GNB1	0	0	0	0
CALML6	0	1	0	1
TMEM52	0	0	1	1
CFAP74	1	1	0	1
RP11-547D24.1	1	1	1	1
GABRD	1	0	0	0
PRKCZ	0	0	0	0
RP11-181G12.2	1	0	0	0
C1orf86	0	0	0	0
RP11-181G12.4	1	1	1	1
SKI	0	0	0	0
MORN1	0	1	0	0
RP4-740C4.5	1	1	0	0
RP4-740C4.7	0	1	0	0
RER1	1	0	0	0
PEX10	0	0	0	0
PLCH2	1	1	0	0
RP3-395M20.2	1	0	1	1
PANK4	0	0	0	0
RP3-395M20.12	1	0	0	0
TNFRSF14	0	1	0	1
FAM213B	0	0	0	0
TTC34	1	1	0	1
LINC00982	0	1	0	1
PRDM16	1	0	0	0
ARHGEF16	1	0	0	0
MEGF6	0	1	1	1
RP11-46F15.2	0	1	1	1
TPRG1L	0	0	0	0
WRAP73	0	0	0	0
TP73	0	0	0	0
TP73-AS1	0	1	1	1
LRRC47	1	0	0	0
CEP104	0	0	0	0
DFFB	0	0	0	0
C1orf174	0	0	0	0
NPHP4	0	0	0	0
KCNAB2	0	0	0	0
CHD5	0	0	0	0
RPL22	0	0	0	0
RP1-120G22.11	0	1	0	0
RNF207	0	1	0	0
ICMT	1	0	0	0
GPR153	0	0	0	0
ACOT7	0	0	0	0
HES2	0	0	1	1
ESPN	0	1	1	0
TNFRSF25	1	0	0	1
PLEKHG5	0	0	0	1
NOL9	0	0	0	0
ZBTB48	0	0	0	0
KLHL21	0	1	0	0
PHF13	0	0	0	0
THAP3	0	0	0	0
DNAJC11	0	0	0	0
RP11-312B8.1	0	0	0	0
CAMTA1	0	0	0	0
RP11-338N10.1	1	1	0	1
RP11-338N10.3	0	1	0	0
VAMP3	0	0	0	0
RP3-467L1.6	0	0	0	0
PER3	1	0	1	0
TNFRSF9	0	1	1	0
PARK7	0	0	0	0
ERRFI1	1	0	0	0
RP11-431K24.1	0	1	1	0
SLC45A1	0	0	0	0
RERE	0	0	0	0
ENO1	0	0	0	0
ENO1-IT1	0	0	0	0
GPR157	0	0	0	0
H6PD	0	0	0	0
SPSB1	0	0	0	0
SLC25A33	0	0	0	0
RP13-15M17.1	0	0	0	0
TMEM201	1	0	0	0
PIK3CD	1	0	0	0
CLSTN1	0	0	0	0
CTNNBIP1	0	1	0	0
LZIC	0	0	0	0
NMNAT1	0	0	0	0
RBP7	0	0	0	0
UBE4B	0	0	0	0
KIF1B	0	0	0	0
PGD	0	0	0	0
APITD1	1	0	0	0
DFFA	0	0	0	0
PEX14	0	0	0	0
CASZ1	0	0	0	1
C1orf127	1	1	1	0
CFL1P6	0	1	1	0
TARDBP	0	0	0	0
MASP2	1	0	1	0
RP4-635E18.8	0	1	0	0
SRM	0	1	0	0
EXOSC10	0	0	0	0
RP4-635E18.7	0	1	0	0
RP4-635E18.6	1	0	1	0
MTOR	0	0	0	0
ANGPTL7	0	0	0	1
UBIAD1	1	0	0	0
PTCHD2	1	0	0	0
FBXO2	1	0	1	0
FBXO44	1	0	0	0
FBXO6	0	0	0	0
MAD2L2	0	0	0	0
AGTRAP	1	0	0	0
C1orf167	1	0	0	0
MTHFR	0	0	0	0
CLCN6	1	0	0	0
NPPA-AS1	0	0	0	0
KIAA2013	1	0	0	0
PLOD1	0	0	0	0
MFN2	0	0	0	0
MIIP	0	0	0	0
TNFRSF1B	0	0	0	0
VPS13D	0	0	0	0
DHRS3	0	0	1	0
PRDM2	0	0	0	0
KAZN	1	0	1	0
TMEM51-AS1	0	1	0	1
TMEM51	1	0	0	0
RP3-467K16.4	0	1	0	0
EFHD2	0	0	0	0
CASP9	0	0	0	0
DNAJC16	0	0	0	0
RP4-680D5.2	0	0	0	1
DDI2	0	0	0	0
PLEKHM2	0	0	0	0
SLC25A34	0	1	0	1
FBLIM1	0	0	0	0
FLJ37453	0	0	0	0
ZBTB17	0	0	0	0
FAM131C	0	0	0	0
EPHA2	0	0	0	1
RP11-276H7.3	0	1	0	0
ARHGEF19	0	0	0	0
ANO7P1	0	0	0	0
RSG1	0	0	0	0
FBXO42	0	0	0	0
SZRD1	0	0	0	0
RP4-798A10.2	0	0	0	0
CROCCP3	0	0	1	1
RP4-798A10.7	1	0	0	0
NBPF1	0	0	0	0
CROCCP2	0	0	0	0
MST1P2	1	0	0	0
EIF1AXP1	0	0	0	0
CROCC	0	0	0	0
MST1L	1	0	1	0
RP11-108M9.6	1	0	0	0
ATP13A2	0	0	0	0
SDHB	0	0	0	0
PADI2	0	1	0	1
PADI3	0	1	1	0
RCC2	0	0	0	0
ARHGEF10L	0	0	0	0
ALDH4A1	0	0	0	0
IFFO2	0	0	0	0
RP5-1126H10.2	0	0	0	0
UBR4	0	0	0	0
EMC1	0	0	0	0
MRTO4	1	0	0	0
AKR7L	0	0	0	0
AKR7A3	0	0	0	0
AKR7A2	0	0	0	0
RNU6-1099P	1	0	1	0
PQLC2	1	0	0	0
CAPZB	0	0	0	0
MINOS1	0	0	0	0
RP5-1056L3.3	0	0	0	0
NBL1	0	1	1	0
HTR6	0	0	0	0
TMCO4	0	0	0	0
OTUD3	0	0	0	0
CAMK2N1	0	0	0	0
MUL1	1	0	0	0
CDA	1	0	0	1
PINK1	1	0	0	0
PINK1-AS	1	0	0	0
DDOST	0	0	0	0
KIF17	1	0	0	0
SH2D5	0	0	0	0
HP1BP3	0	0	0	0
EIF4G3	0	0	0	0
ECE1	0	0	0	0
RP5-1071N3.1	1	1	1	1
NBPF2P	0	0	0	1
NBPF3	0	0	0	0
RAP1GAP	0	0	1	1
USP48	0	0	0	0
HSPG2	1	0	0	0
LINC00339	0	0	0	0
CDC42	0	0	0	0
CDC42-IT1	0	1	0	0
WNT4	0	0	1	0
ZBTB40	0	0	0	0
ZBTB40-IT1	1	0	1	1
EPHA8	0	0	0	1
EPHB2	1	0	0	0
C1orf234	0	1	0	0
KDM1A	0	0	0	0
LUZP1	0	0	0	0
LINC01355	0	1	0	0
HNRNPR	0	0	0	0
ZNF436	0	0	0	0
ZNF436-AS1	0	1	0	0
TCEA3	1	0	0	1
ASAP3	1	0	0	0
E2F2	1	0	0	0
ID3	0	0	0	0
RPL11	0	0	0	0
TCEB3	0	0	0	0
TCEB3-AS1	0	0	0	0
PITHD1	0	0	0	0
GALE	1	0	0	0
HMGCL	0	0	0	0
FUCA1	0	0	0	0
PNRC2	0	1	0	0
SRSF10	0	0	0	0
MYOM3	1	1	0	0
IL22RA1	1	0	0	1
IFNLR1	0	0	0	0
STPG1	1	0	0	0
NIPAL3	0	0	0	0
RCAN3	0	0	0	0
SRRM1	0	0	0	0
CLIC4	0	1	0	0
SYF2	0	0	0	0
RSRP1	0	0	0	0
TMEM50A	1	0	0	0
TMEM57	1	0	0	0
LDLRAP1	0	0	0	0
MAN1C1	1	1	0	0
SEPN1	0	0	0	0
RP1-317E23.3	1	0	0	0
MTFR1L	0	0	0	0
AUNIP	0	0	0	0
PAQR7	0	0	0	0
STMN1	0	0	0	0
PAFAH2	0	0	0	0
EXTL1	0	1	0	0
PDIK1L	1	0	0	0
ZNF593	0	0	0	0
CNKSR1	0	0	1	0
CEP85	0	0	0	0
SH3BGRL3	0	0	0	0
UBXN11	0	0	0	0
DHDDS	0	0	0	0
