Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"PLSCR1"	"6.5"	"ARCHS4 Coexpression,3;GTEx Coexpression,10"	"CCDC71L,IFITM3,IFITM1,ITGAM,NCF2,DDX60L,CXCL3,CXCL2,IFIT3,IFIH1,GLIPR1,GLIPR2,NAMPT,CASP4,C3AR1,CASP1,TNFSF10,EMILIN2,SLC39A8,UPP1,CTSC,HERC6,RSAD2,IL1R1,PLAUR,TAP1,OSMR,RAP2C,RNF144B,IRF1,OAS3,CARD16,SKAP2,HLA-DQB1,CD274,CEBPD,PTAFR,DDX60,RELB,SOCS3,APOL6,IFI16,CREG1,GBP2,GBP1,GBP3,CD74,GCH1,ANKRD22,PARP14,PARP10,BST2,BCL3,IL18R1"
"gene_set_query"	"2"	"BATF3"	"15.33"	"ARCHS4 Coexpression,21;Enrichr Queries,5;GTEx Coexpression,20"	"CCDC71L,IFITM3,IFITM1,BTG2,CDKN1A,MCTP1,SERPINE2,CSF1,NCF2,TNC,TNFAIP3,SLC2A3,DDX60L,CXCL2,IFIT3,ETS2,IFIH1,NIPAL4,HHAT,GLIPR1,GLIPR2,CASP4,TNFSF10,CASP1,EMILIN2,UPP1,JUNB,CTSC,IER3,DUSP4,DUSP5,DUSP2,RSAD2,IGFBP4,SPHK1,IL1R2,IGFBP2,PLAUR,TAP1,OSMR,MMP9,DUSP6,ADAM19,PLSCR1,MDFIC,IRF1,OAS3,S100A6,PPARG,HLA-DQB1,BIRC3,HBEGF,PTGER4,CD274,CEBPD,SDC4,FAM129A,CXCR4,RELB,CYB5R2,SOCS3,SOCS1,IFI16,PMAIP1,APOL1,GBP2,GBP1,GBP3,CD74,EGR2,GCH1,TNFRSF9,PARP14,PSMB9,SULF2,BST2,TMEM156,ARHGAP31,MAFB,NR4A3,BCL3,BHLHE40,ALOX5AP,TNFSF9"
"gene_set_query"	"3"	"FOSB"	"28.33"	"ARCHS4 Coexpression,50;Enrichr Queries,33;GTEx Coexpression,2"	"CCDC71L,IFITM3,CSRNP1,BTG2,CDKN1A,IFITM1,BTG1,SERPINE2,FAM89A,TNC,TNFAIP3,PLAT,SLC2A3,AHR,CXCL3,CXCL2,PRSS23,ETS2,IFIT3,IRF2BPL,ADAMTS4,NIPAL4,BOC,NFKBIZ,NAMPT,PDE4B,JUNB,IER3,DUSP4,DUSP5,MYLIP,DUSP2,RSAD2,IGFBP4,TSC22D3,PLAUR,SLC30A1,MMP9,DUSP6,ELF3,CDHR1,IRF1,PELI1,S100A6,PPARG,NCOA7,ANGPTL4,HBEGF,BIRC3,PTGER4,TAGLN,CFH,CEBPD,SDC4,SLC20A1,NLRC5,CXCR4,ADRB2,APCDD1,EFNB2,SOCS3,PMAIP1,GBP2,SLC19A2,CD74,EGR2,TIPARP,LYZ,GADD45G,VEGFA,COL3A1,NR4A3,MAFB,DLC1,BCL3,BHLHE40"
"gene_set_query"	"4"	"EGR2"	"29.33"	"ARCHS4 Coexpression,26;Enrichr Queries,16;GTEx Coexpression,46"	"IFITM3,PTPRU,CSRNP1,BTG2,CDKN1A,DOCK4,BTG1,SERPINE2,CSF1,TNC,TNFAIP3,PLAT,SLC2A3,AHR,CXCL3,CXCL2,IFIT3,ETS2,DTWD2,NFKBIZ,EMILIN3,PDE4B,C3AR1,ITGAX,ITGB8,JUNB,IER3,DUSP4,DUSP5,DUSP2,RSAD2,IGFBP4,IL1R1,SPHK1,TSC22D3,PLAUR,MMP9,DUSP6,MTSS1,IRF1,IL1RAPL1,S100A6,VWA1,PPARG,BIRC7,ANGPTL4,HBEGF,BIRC3,HLA-DQB1,PTGER4,TAGLN,CEBPD,SDC4,LAMA3,PTAFR,CXCR4,ADRB2,NPL,FOXO1,RELB,CYB5R2,PRRG4,SOCS3,SOCS1,RDH10,SCN7A,PMAIP1,GPX1P1,GBP2,A2M,TNFSF18,NGFR,CD74,TIPARP,BDNF,TNFRSF9,LGI2,ARHGAP26,DHRS3,GADD45G,VEGFA,ARHGAP31,COL3A1,MAFB,NR4A3,BCL3,BHLHE40,ALOX5AP,BCL2,KBTBD8"
"gene_set_query"	"5"	"NR4A2"	"40.25"	"Literature ChIP-seq,95;ARCHS4 Coexpression,36;Enrichr Queries,12;GTEx Coexpression,18"	"IFITM3,IFITM1,SERPINE2,TNC,AHR,IFIT3,ETS2,HHAT,ALCAM,NAMPT,ADORA1,C3AR1,PRKACB,JUNB,IER3,SEMA6B,CHRNB2,MYLIP,HLA-H,RSAD2,IGFBP4,FBXO2,IGFBP2,HPCAL4,KCTD12,TRIB2,PHLDB2,GPM6A,RTN1,SDC4,TMEM59L,SLC1A3,ADRB2,FOXO1,EFNB2,SOCS3,PMAIP1,HIVEP2,GPX1P1,TRPM8,KIAA0319,EGR2,CADM2,TIPARP,BDNF,SLC16A10,CORO2B,GADD45G,MAFB,NR4A3,BCL3,BHLHE40,CSPG5,CPE,FGFR1,LINC00461,CSRNP1,PTPRU,BTG2,CDKN1A,BTG1,TNFAIP3,SLC2A3,PRSS23,CXCL2,NFKBIZ,PDE4B,KIF1A,DUSP4,DUSP5,DUSP2,GRID1,TSC22D3,PLAUR,ELOVL6,DUSP6,DNAJC6,IRF1,PELI1,ALDOC,ANGPTL4,HBEGF,BIRC3,HLA-DQB1,PTGER4,CEBPD,CXCR4,RELB,SLC17A6,GBP2,CD74,PCDH9,GCH1,LGI3,DHRS3,VEGFA,PPP2R2C,NFIA,NOVA2,ALOX5AP,FAM171B"
"gene_set_query"	"6"	"SNAI1"	"45.33"	"ARCHS4 Coexpression,88;Enrichr Queries,47;GTEx Coexpression,1"	"CCDC71L,IFITM3,CSRNP1,CDKN1A,BTG2,SERPINE2,CSF1,FAM89A,TNC,TNFAIP3,CBLB,PLAT,SLC2A3,CXCL3,CXCL2,PQLC2L,ETS2,PTPRG,ADAMTS4,NIPAL4,CDH5,HHAT,GLIPR2,NFKBIZ,UPP1,SCARF2,JUNB,IER3,DUSP4,SEMA6B,DUSP5,DUSP2,IL1R1,UNC5B,IGFBP4,SPHK1,F2R,PLAUR,OSMR,MMP9,DUSP6,ADAM19,PLSCR1,EMCN,IRF1,MMRN2,S100A6,PPARG,ANGPTL4,MOCS1,HBEGF,TAGLN,CEBPD,SDC4,LEF1,CXCR4,THBS2,EFNB2,SOCS3,NT5E,APOL6,SOCS1,ZNF703,LRRC8C,PMAIP1,MEST,EGR2,IFITM10,BMP6,SULF2,GADD45G,VEGFA,ARHGAP31,COL3A1,MAFB,NR4A3,DLC1,BCL3,BHLHE40,TNFSF9,ATP13A3,FGFR1,FBN1"
"gene_set_query"	"7"	"IRF1"	"52.83"	"Literature ChIP-seq,26;ARCHS4 Coexpression,62;ENCODE ChIP-seq,95;Enrichr Queries,9;ReMap ChIP-seq,54;GTEx Coexpression,71"	"IFITM3,CCDC71L,SLC46A3,GALNT12,EHF,IFITM1,CSF1,NCF2,FAM89A,TNC,DDX60L,KLHDC7B,MANEA,IFIT3,ETS2,AQP1,RGS5,ALCAM,DEPTOR,LIPC,NAMPT,SCN9A,TNFSF10,C3AR1,BBX,SLC39A8,SLC16A9,JUNB,IL6R,HIST1H2AC,IER3,HERC6,HLA-J,PAQR8,MYLIP,HLA-H,RSAD2,UNC5B,F2R,HLA-B,TAP1,HLA-C,SLC30A1,MITF,SYTL2,DISP1,FOXP1,ADAM19,TMX4,SCNN1A,ORAI3,S100A6,CARD16,PHLDB2,HIST1H2BD,SKAP2,CD274,HS3ST3A1,SDC4,IGSF3,ENDOD1,TMTC1,TAPBPL,DDX60,FOXO1,SOCS3,ATXN1,SOCS1,FAM83E,PMAIP1,LONRF3,EGR2,NDFIP2,TIPARP,BDNF,SLC52A2,ANKEF1,PARP14,BST2,PARP10,ACER2,MAFB,AMACR,NR4A3,BAMBI,BCL3,BHLHE40,HIST1H4H,LRP10,LGALS3BP,KCNK5,CSRNP1,DHRS13,BTG2,CDKN1A,ITGAM,BTG1,TNFAIP3,SLC2A3,CXCL3,RCSD1,CXCL2,PIK3CG,SIRPB1,CYB561D2,IRF2BPL,IFIH1,RPL7A,GLIPR2,CASP4,NFKBIZ,ITGAX,CASP1,PDE4B,IDS,PDE4A,MAN1A1,UPP1,TMED7,CTSC,NKX3-1,DUSP4,DUSP5,TSC22D3,TESC,SPHK1,PLAUR,ABCA17P,ELOVL7,DUSP6,RAP2C,PLSCR1,CDCP1,IRF1,OAS3,MMP17,PELI1,VWA1,RAPGEF6,CHST2,BIRC3,HBEGF,PTGER4,CEBPD,SLC20A1,HIST1H2BK,LEF1,PTAFR,NLRC5,FAM129A,CXCR4,PPM1K,RELB,SLC25A27,PRRG4,HIRA,MUC1,APOL6,IFI16,CREG1,SLC25A21,GBP2,APOL1,E2F5,GBP1,GBP3,CD74,PPP1R14A,ZNF462,LAMB3,GCH1,SMOX,SEMA4B,MID1IP1,TPD52L1,DHRS3,SGPP1,PSMB9,VEGFA,TMEM158,LRG1,TSPAN13,NFIA,OSTM1,MGAT4A,ALOX5AP,RPL13AP5,ATP13A3,TMEM229B"
"gene_set_query"	"8"	"ZNF267"	"57.67"	"ARCHS4 Coexpression,4;Enrichr Queries,11;GTEx Coexpression,158"	"CSRNP1,BTG2,CDKN1A,IFITM1,DOCK4,BTG1,NCF2,TNFAIP3,DDX60L,SLC2A3,AHR,CXCL3,CXCL2,PIK3CG,IFIT3,ETS2,FAM107B,IFIH1,HHAT,GLIPR1,NAMPT,CASP4,NFKBIZ,ITGAX,CASP1,TNFSF10,PDE4B,EMILIN2,UPP1,JUNB,IL6R,CTSC,IER3,DUSP4,DUSP5,DUSP2,RSAD2,TSC22D3,HLA-B,PLAUR,TAP1,DUSP6,PTP4A1,RNF144B,PLSCR1,IRF1,PELI1,CARD16,IL6ST,HBEGF,BIRC3,HLA-DQB1,PTGER4,CD274,CEBPD,PTAFR,FAM129A,CXCR4,NPL,DDX60,RELB,SOCS3,APOL6,SOCS1,IFI16,PMAIP1,HIVEP2,GBP2,GBP1,GBP3,EGR2,GCH1,TIPARP,TNFRSF9,PARP14,PSMB9,VEGFA,TMEM156,NR4A3,BCL3,BHLHE40,FAS,ATP13A3,KBTBD8,IL18R1"
"gene_set_query"	"9"	"HLX"	"59.0"	"ARCHS4 Coexpression,79;Enrichr Queries,31;GTEx Coexpression,67"	"IFITM3,LGALS3BP,IFITM1,BTG2,CDKN1A,ITGAM,BTG1,SERPINE2,CSF1,NCF2,TNC,TNFAIP3,DDX60L,RCSD1,CXCL2,PIK3CG,SIRPB1,IFIT3,ETS2,NIPAL4,HHAT,GLIPR2,CASP4,NFKBIZ,NAMPT,C3AR1,ITGAX,CASP1,PDE4B,EMILIN2,UPP1,JUNB,IL6R,CTSC,IER3,DUSP5,IGFBP4,IL1R1,SPHK1,TSC22D3,PLAUR,HLA-B,HLA-C,MMP9,DUSP6,ADAM19,PLSCR1,IRF1,S100A6,CARD16,KCTD12,SKAP2,HBEGF,SLC22A4,PTGER4,CD274,RBM47,CFH,CEBPD,PTAFR,FAM129A,CXCR4,ADRB2,NPL,RELB,EFNB2,SOCS3,CREG1,GBP2,CD74,EGR2,DHRS3,SULF2,GADD45G,VEGFA,PARP10,COL3A1,MAFB,S100Z,ALOX5AP,BCL3,BHLHE40,LRP10,IL18R1,FBN1"
"gene_set_query"	"10"	"NFIL3"	"59.33"	"ARCHS4 Coexpression,35;Enrichr Queries,51;GTEx Coexpression,92"	"CCDC71L,IFITM3,CSRNP1,CDKN1A,BTG2,BTG1,ITGAM,SERPINE2,NCF2,TNC,TNFAIP3,CBLB,SLC2A3,IL1RAP,AHR,CXCL2,IFIT3,ETS2,SIRPB1,NAMPT,CASP4,NFKBIZ,PDE4B,ITGAX,EMILIN2,UPP1,JUNB,IL6R,CTSC,IER3,DUSP4,DUSP5,IL1R1,IL1R2,TSC22D3,PLAUR,HLA-B,OSMR,DUSP6,PTP4A1,PLSCR1,IRF1,S100A6,PELI1,ANGPTL4,HBEGF,BIRC3,PTGER4,CEBPD,SDC4,PTAFR,FAM129A,CXCR4,FOXO1,RELB,SOCS3,PMAIP1,SLC25A21,GBP2,CD74,EGR2,GCH1,TIPARP,LYZ,DHRS3,GADD45G,VEGFA,NR4A3,MAFB,LRG1,BCL3,BHLHE40,ALOX5AP,LRP10"
