Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"GLMP"	"2.0"	"ARCHS4 Coexpression,3;GTEx Coexpression,1"	"SLC35B2,KDELR1,TMEM179B,TXNDC12,COMT,SLC16A6,SIRPA,SLC30A6,ATP6V0E1,ALG3,ALG12,CNPY2,ALG1,CYB561A3,MFSD12,SCAMP3,MINPP1,BRMS1,SOAT1,TMX1,KDELR2,KDELR3,PPIB,C5AR1,PRDX4,NEU1,CHST14,MPDU1,PRELID1,TOR1A,TMEM50A,FUCA2,SURF4,HPS6,HTR7P1,TMEM115,EIF6,OSTC,PQLC2,EBPL,FXYD5,TGFBI,TRAM1,ADPGK,PHF23,SLC35F5,CTSZ,TMEM51,TRAM2,CYB561D2,MYDGF,SPR,GM2A,CTSL,C1QTNF6,TMED3,FLVCR2,SDF2,CTSD,ERMAP,CTSC,IKBIP,ATP6V0B,TMED9,CHPF2,SIGMAR1,CKAP4,SUMF1,RER1,NPC2,DAD1,RFT1,UMPS,SLC29A3,CERS2,PRIM2,CD63,HM13,GBA,EXOSC4,CREG1,ORMDL2,LMAN2,MGAT1,MGAT2,BID,CCDC71,SEC11A,SLC35A2,BCAP31,SLC31A1,YIPF5,SUSD1,CMTM6,NAGA,YIF1A,ERP44,TM9SF1,P2RX4,CLCF1,CYP20A1,APOC1,P4HB,GRINA"
"gene_set_query"	"2"	"ZNF888"	"4.0"	"GTEx Coexpression,4"	"SLC35B2,TRAM1,POP1,FAF2,SMC2,SEC61A1,EXO1,TMED2,UTP14A,NDC1,PRMT6,GPR39,SLC30A6,TMED9,SMIM15,ALG2,DARS2,NIPA2,ALG1,ESCO2,TMEM131,HPDL,TMX1,RFT1,PIGM,UMPS,LRRC59,PRIM2,CANT1,PCNA,ZNF66,SLC1A5,MTDH,TM9SF3,DPP3,SSR1,MGAT2,ARSD,OGFRP1,E2F7,CD164,UTP3,XRCC2,YIPF5,GINS4,M6PR,BCDIN3D,HPS6,VANGL1,FAM111B,ERP44,TM9SF1,NAT1,CENPI,ZNF215,P4HB,ALDH18A1"
"gene_set_query"	"3"	"PA2G4"	"17.5"	"ARCHS4 Coexpression,9;GTEx Coexpression,26"	"FEN1,POP1,PINX1,ZDHHC5,MCM10,GPATCH4,PRPF19,YARS2,IPO4,SMC2,CHAF1A,EXO1,TK1,UTP14A,NDC1,TCF19,NUDC,MARS2,DARS2,ESCO2,SMC1A,FTSJ3,WDR77,PSME3,ZW10,GRWD1,MRTO4,MCM4,CCDC86,TFAM,MCM5,UMPS,ARF6,MCM2,SF3B4,LRRC59,PCNA,DHX9,SLC1A5,HMMR,PKMYT1,RECQL4,CDC45,ORC1,E2F1,E2F7,SF3A3,GINS2,PRELID1,NIFK,UTP3,XRCC2,ALYREF,CDC6,HNRNPAB,GPN1,ZWINT,FAM111B,DHFR,POLA1,HNRNPM,EIF6,CENPI,INTS5,CENPM,PSMG1,NOL11,FARSA"
"gene_set_query"	"4"	"ZNF367"	"23.67"	"ARCHS4 Coexpression,42;Enrichr Queries,2;GTEx Coexpression,27"	"FEN1,TFRC,POP1,ITGB3,MCM10,BRCA1,TMEM97,SMC2,CHAF1A,EXO1,CHAC2,SPDL1,TK1,LBR,NDC1,TCF19,GEN1,TIPIN,NCBP1,DARS2,ESCO2,SMC1A,NT5C3A,RBL1,CCNE2,CCNE1,MCM4,TFAM,MCM5,MCM2,LRRC59,PCNA,DHX9,ENDOD1,HMMR,PKMYT1,MTDH,PSMC3IP,RECQL4,PGRMC1,CDC45,ORC1,E2F1,E2F2,E2F7,MFAP3L,GINS2,XRCC2,ALYREF,GINS3,GINS4,GGH,PA2G4,CDC6,HNRNPAB,ZWINT,DHFR,FAM111B,POLA1,ABCB10,CENPI,CENPM,HIST1H4H,ESAM"
"gene_set_query"	"5"	"E2F1"	"28.67"	"Literature ChIP-seq,1;ARCHS4 Coexpression,55;ENCODE ChIP-seq,13;Enrichr Queries,10;ReMap ChIP-seq,37;GTEx Coexpression,56"	"TFRC,GPATCH4,TMEM97,TSKU,SMC2,NSDHL,CLP1,CIRBP-AS1,NUP214,DNTTIP2,TMEM80,SCAMP3,WDR77,LARS2,EID1,PRR19,PRR7-AS1,RPN1,RRP7A,PRDX4,CHST12,PTPMT1,CHST10,SSR1,PSMF1,SLC19A1,FZD1,TOE1,ICMT,RMDN3,CDC6,PA2G4,ERLIN2,GPN1,DHFR,FAM111B,VANGL1,HNRNPM,XKR7,EIF6,PSMG1,SFXN2,SERPINI1,FARSA,SFXN5,NRSN2,SPEF1,PHF23,PIGQ,KCNC3,PIGP,ARPC1A,KDM8,LPCAT1,PRSS23,CYB561D2,WDR44,PANX1,LFNG,CHAF1A,GPR137,TK1,TIMP1,XXYLT1,TCF19,APC2,NDC1,TIGD2,NUDC,ROM1,SSR3,EMP1,EMP2,TIMM22,MANEAL,NIPA2,SUMF1,DUSP7,PIGC,MRPL53,LSG1,TMEM33,PTRH2,SLC29A1,ARF6,PIGH,WRB,ODC1,FAM129C,TMEM165,RECQL4,PDF,CNPY4,LMAN2,CHN1,ADAM23,HAS3,AGA,BID,SIAE,SF3A3,TRMT10C,UTP3,GOLM1,ADAT3,DCBLD2,TM9SF1,ERP44,ABCB10,PSMC3,CENPI,CLCF1,LPCAT3,CYP20A1,CENPM,PLP2,TMEM39B,CEP41,TOR2A,TMEM179B,BEST2,CLU,IPO4,LAPTM4B,POFUT1,NUDT19,CLCC1,TOR3A,DGAT2,TPM3,CNPY2,CYB561A3,FTSJ3,ST7L,MINPP1,STIM2,TEX9,NAAA,IL6ST,SLC27A4,LY6E,RTN4R,LRRC59,RNASEH2C,PTOV1-AS1,CD151,ABHD3,ABHD6,HMMR,ABHD5,PKMYT1,SLC9A1,RHOBTB2,ORC5,ORC1,ZNF789,RNF170,AP4S1,THEM6,KDSR,KIAA0319,MPDU1,CD164,COA3,SDF2L1,TOR1A,LPP-AS2,BRPF3,SRD5A3,M6PR,B3GALT6,DHCR24,HPS6,ABHD15,CNIH1,REEP5,REEP3,VPS9D1-AS1,REEP6,CLPTM1L,TMEM18,MCFD2,ITGB5,MCM10,ASB16-AS1,MRPL1,EXO1,ITGB7,SPDL1,GRASP,DGCR2,SIGMAR1,ELAC1,CCDC183-AS1,SMC1A,KCNAB3,TSN,DNAJC1,TMBIM4,NPC2,IMPAD1,LANCL2,MCM4,MCM5,SFT2D2,SEC22A,TNFRSF21,MCM2,HM13,HSD17B12,LAGE3,LMF2,FOXRED2,CDC45,NCLN,E2F1,POLR2E,E2F2,LRRC8D,SLC25A21,IARS2,LRRC8B,CCDC71,SEC11A,E2F7,SLC12A2,FKRP,CTNS,HNRNPAB,DNAJA1,POLR3B,VAPA,POLR3C,POLR3H,P4HB,SLC23A3,SLC35B2,TMEM41A,SLC35B4,KDELR1,SLC35B1,CISD2,LDLRAD3,KLHDC7B,CYB5D1,RCBTB2,BCAP29,CCDC97,TRIM26,CHAC2,SEC62,ICOSLG,ARL6IP6,TIPIN,ATP6V0E1,PAQR4,ALG5,SLC35C1,ALG2,ALG3,ESCO2,ALG1,JMJD8,TWSG1,SOAT1,SOAT2,GRWD1,TFAM,KDELR2,MXRA7,TMEM185B,AARS2,LMAN2L,TEX264,PIK3R4,MST1R,OMA1,PTTG1IP,ZMPSTE24,APH1A,PTDSS1,SGPL1,TSPAN3,TMEM184C,TMEM50A,XRCC2,TREX1,XRCC3,SURF4,BRI3BP,ZWINT,MANF,EXT1,POLA1,STAG1,ACER3,INTS5,HIST1H4H,SDC1,NOL11,ITM2B,CD320,MRPS17,FEN1,TRAM1,GFM1,ROBO4,SLC44A1,GPAA1,FASTKD2,TPI1P2,FAM57A,CTSZ,FAF2,BRCA1,PRPF19,IER3IP1,ARV1,SPTLC1,SPTLC2,CTSL,HYAL2,HYAL3,CTSD,CTSC,PSENEN,MRPS28,PRMT6,ATP6V0B,TNFRSF12A,NCOA5,ACAD9,TOP3A,AGTRAP,SYP,SLC35G1,B3GNT9,B3GNT2,TLCD1,CRELD2,UMPS,FJX1,CD44,DNASE1L1,MATN2,CD63,NPB,MAGEH1,PCNA,SLC43A2,SLC20A2,GBA,DERL2,CRIP2,AKAP1,NOL6,PSMC3IP,CST3,PGRMC1,EXOSC4,GPC1,PERP,CREG1,EMC3,MGAT1,EMC6,RIBC2,BCAP31,GINS2,GDF11,YIPF1,SPRYD4,SLC31A2,GINS3,GINS4,YIF1A,SPCS2,TCEA1,TRIP11,TACC1,ESYT1,STEAP3,CD81,SPPL2A,GXYLT1,COMT,PVR,TMEM38B,TMEM14A,FAM81A,TMEM14C,PUS3,SLC30A6,SCARA3,IL4R,MMGT1,DNAJB12,EPDR1,ALG12,DPM2,TMX4,BRMS1,TMX3,CCNE2,TMX2,CCNE1,TMX1,GPD2,PPIF,PPIC,RTN3,UBIAD1,PSMD12,CCDC142,CHRNA5,NDUFB11,HTRA1,SLC1A4,SLC1A5,RPF2,EFNA4,RTN4,TOR1AIP1,TMEM123,KIF3B,DHRS7B,EEFSEC,CRTAP,UQCC3,ALYREF,SLC52A2,RPP40,EPHX1,GGH,DOLK,IFT22,TMEM115,PQLC2,SRPRB,EBPL,AMOTL2,DEGS1,LRP11,PHTF2,B4GALT1,PRKCSH,PDE3B,PKD2,DHTKD1,TMEM104,NAPRT,TIMM17A,TMEM109,CNPPD1,ABCC3,ABCC4,DARS2,ABHD14A,LSR,HPDL,RCN1,RBL1,VGF,TMEM214,RFT1,TMEM9,AGPAT5,DDX28,AGPAT2,CLN6,CLN5,TMEM201,WNT11,CHSY1,TYW1,TMEM208,CDIPT,FAHD1,NIFK,CMTM3,GALNT1,CMTM6,MZF1-AS1,SDHAP3,CD9,CKLF"
"gene_set_query"	"6"	"CREB3L2"	"29.33"	"ARCHS4 Coexpression,30;Enrichr Queries,35;GTEx Coexpression,23"	"NRP1,MCFD2,B4GALT1,ITGB5,SLC44A1,KDELR1,FKBP14,PRKCSH,ITGB3,ZDHHC5,PKD2,TXNDC15,PRSS23,ANTXR1,TRAM2,GALNT10,NDST1,SEC61A1,HHAT,POFUT1,TCTN3,TCTN1,DAG1,TMEM109,TIMP1,TMED7,FADS1,SEC63,TGM2,CHGB,ACVR1,ITGA3,IGFBP4,CHPF2,EMP1,JMJD8,SLC39A14,CKAP4,TMEM131,TWSG1,B3GNT9,TMEM214,IMPAD1,CANX,KDELR2,GINM1,MXRA7,PPIB,IL6ST,TNFRSF21,CD44,ITGA9,PPIC,CD63,LRRC59,TMED10,PARM1,CD151,HTRA1,FAM129A,SLC1A4,PTTG1IP,SGMS2,CLN5,TM9SF3,EFNB2,NT5E,TMEM248,SERPINH1,MLEC,CHST14,UGGT2,SEC11A,FZD1,CRTAP,WFS1,CAV1,SURF4,CYBRD1,VASN,EXT1,FAM167A,CYP20A1,PXMP2,CD9,TACC1,TGFBI,P4HB,SLC26A4,BMPR1A"
"gene_set_query"	"7"	"FOXD1"	"36.5"	"ARCHS4 Coexpression,15;GTEx Coexpression,58"	"SLC35B2,TRAM1,STEAP3,ITGB5,FKBP14,PRKCSH,UXS1,SUCLG2-AS1,FAF2,GXYLT1,TRAM2,PVR,GALNT10,NDST1,SEC61A1,YY2,PODNL1,POFUT1,SPDL1,IKBIP,SCARA3,TNFRSF12A,ITGA3,CHPF2,SSR3,P3H4,CKAP4,RCN1,TWSG1,TMX3,TRNP1,KDELR2,KDELR3,MXRA7,LINC00565,PRIM2,LRRC15,LRRC59,CD151,SLC1A5,NT5E,NCLN,GPC1,SERPINH1,MGAT2,CRTAP,CAV1,SLC52A2,ALYREF,YIPF5,VASN,DCBLD2,HTR7P1,EXT1,CNIH1,CENPI,LINC00941,AMOTL2,TGFBI,P4HB,ULBP3"
"gene_set_query"	"8"	"MLX"	"45.67"	"ARCHS4 Coexpression,23;Enrichr Queries,38;GTEx Coexpression,76"	"TFRC,FASTKD2,PRKCSH,TMEM179B,SLC35B1,SPPL2A,CTSZ,HCCS,BRCA1,COMT,CYB561D2,MYDGF,SPR,CLP1,NUDT19,TIMM17A,TMEM109,CTSD,FADS1,PUS3,GSTK1,JAGN1,ATP6V0B,ATP6V0E1,TNFRSF12A,ZNF480,TPM3,MUL1,ALG3,AGTRAP,ALG12,CYBA,NIPA2,SCAMP3,WDR77,SCAMP2,MAPK8IP1,BRMS1,RER1,SOAT2,PTRH2,PSME3,MAP1A,FASTKD5,PPIF,CCDC86,B3GNT2,CHMP6,CD44,DNASE1L1,DDX28,RNASEH2C,CD63,TMED10,HM13,PTAFR,C5AR1,DERL1,OMA1,SLC1A5,AGPAT2,TMEM164,DPP3,PSMC3IP,RRP7A,DHRS7B,ORMDL2,LMAN2,EMC3,POLR2E,PDSS1,SLC25A21,MGAT1,ZNF622,EMC6,PSMF1,BID,BCAP31,PRELID1,YIPF1,SDF2L1,UQCC3,HNRNPAB,YIF1A,COQ2,EIF6,LPCAT3,P4HB,PLP2,CKLF"
"gene_set_query"	"9"	"PREB"	"52.0"	"ARCHS4 Coexpression,4;Enrichr Queries,1;GTEx Coexpression,151"	"SLC35B2,TFRC,CD81,SLC35B1,SPPL2A,IPO4,NUDT19,FADS1,PUS3,TPM3,ALG3,SCAMP3,WDR77,SCAMP2,SLC5A6,BRMS1,TMX2,PSME3,GRWD1,DNAJB11,PPIF,CCDC86,KDELR2,PPIB,LRRC59,SAR1B,NDUFB11,RPN1,SLC1A5,DPP3,APH1A,PRDX4,SERPINH1,MLEC,PRELID1,SDF2L1,SLC52A2,SURF4,MANF,EIF6,SRPRB,CLPTM1L,FARSA,MRPS17,FEN1,PRKCSH,GPAA1,PRPF19,SEC61A1,MYDGF,SPR,PRADC1,NAPRT,TMED2,CTSD,LRRC47,ATP6V0B,TMED9,NUDC,SSR4,SSR3,SIGMAR1,DDX56,TMEM214,RER1,DAD1,RPUSD1,FASTKD5,MCM4,MCM5,CHMP6,CRELD2,B4GALT7,DNASE1L1,PCNA,HM13,DERL1,AGPAT2,NOL6,TMEM201,NCLN,LMAN2,CLPTM1,E2F1,POLR2E,CHRNA10,SLC25A21,EMC6,SEC11C,BCAP31,SPRYD4,HNRNPAB,YIF1A,PSMC3,PSMC4,P4HB,ESYT1"
"gene_set_query"	"10"	"ZBTB42"	"57.5"	"ARCHS4 Coexpression,90;GTEx Coexpression,25"	"PRKCSH,SLC35B1,SPPL2A,ZDHHC5,TMEM97,PRPF19,IPO4,SEC61A1,SPR,NUDT19,SLC39A6,TMED2,PUS3,PRMT6,TMED9,JAGN1,ALG5,ALG2,KRT8,ALG3,ALG12,LSR,EMP2,SLC39A14,SCAMP3,WDR77,TPST2,DNAJC1,GRWD1,KCTD14,CUEDC1,LY6E,SLC27A4,CERS2,SF3B4,LRRC59,KRT80,CANT1,HM13,PSEN2,SLC1A5,DPP3,APH1A,PRDX4,P2RY2,ZNF622,THEM6,ARSD,CACNG4,SLC35A2,SLC35E1,SLC52A2,YIF1A,VANGL1,TM9SF1,OCLN,KRT18,LPCAT3,INTS5,TRIP11,SRPRB,CLPTM1L,P4HB,CYB561,GRINA"
