PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	954552	955700	+	0	NA	promoter-TSS (NM_001305275)	promoter-TSS (NM_001305275)	-374	NM_198576	375790	Hs.273330	NM_198576	ENSG00000188157	AGRN	AGRIN|CMS8|CMSPPD	agrin	protein-coding	0.00553696696197029	1.03981428799153
2	chr1	1850352	1851350	+	0	NA	promoter-TSS (NM_178545)	promoter-TSS (NM_178545)	-133	NM_178545	339456	Hs.123423	NM_178545	ENSG00000178821	TMEM52	-	transmembrane protein 52	protein-coding	0.00313770777871904	1.41540978246414
3	chr1	16678502	16679400	+	0	NA	promoter-TSS (NM_018994)	promoter-TSS (NM_018994)	24	NM_018994	54455	Hs.522384	NM_018994	ENSG00000037637	FBXO42	Fbx42|JFK	F-box protein 42	protein-coding	0.00365501368356129	1.38313204226016
4	chr1	32253752	32255150	+	0	NA	Intergenic	Intergenic	-24510	NM_001294335	576	Hs.524138	NM_001294335	ENSG00000121753	ADGRB2	BAI2	adhesion G protein-coupled receptor B2	protein-coding	0.00404816921747083	1.09750650180208
5	chr1	32538102	32539250	+	0	NA	intron (NM_001319678, intron 1 of 6)	CpG	136	NM_001319679	55116	Hs.25544	NM_018056	ENSG00000121775	TMEM39B	-	transmembrane protein 39B	protein-coding	0.00282458424338164	1.00830489052756
6	chr1	49381902	49382450	+	0	NA	intron (NR_136623, intron 4 of 12)	intron (NR_136623, intron 4 of 12)	-139535	NR_146232	79656	Hs.475348	NM_024603	ENSG00000162373	BEND5	C1orf165	BEN domain containing 5	protein-coding	7.05205302484651e-05	1.19271077084861
7	chr1	53017902	53019550	+	0	NA	promoter-TSS (NM_015269)	promoter-TSS (NM_015269)	36	NM_015269	23318	Hs.655407	NM_015269	ENSG00000134744	TUT4	PAPD3|TENT3A|ZCCHC11	terminal uridylyl transferase 4	protein-coding	0.00630213048325905	1.02603158920266
8	chr1	62596802	62597250	+	0	NA	intron (NM_176877, intron 41 of 42)	intron (NM_176877, intron 41 of 42)	-52498	NR_036059	100422946		NR_036059	ENSG00000283690	MIR3116-2	-	microRNA 3116-2	ncRNA	0.00642356186602239	1.09554248360486
9	chr1	91852702	91853200	+	0	NA	intron (NM_001017975, intron 4 of 38)	LSU-rRNA_Hsa|rRNA|rRNA	17443	NM_001017975	164045	Hs.454818	NM_001017975	ENSG00000162669	HFM1	MER3|POF9|SEC63D1|Si-11|Si-11-6|helicase	helicase for meiosis 1	protein-coding	9.83590518003936e-08	0.983444144936114
10	chr1	108668152	108668500	+	0	NA	Intergenic	Intergenic	67131	NM_213651	29957	Hs.656870	NM_013386	ENSG00000085491	SLC25A24	APC1|SCAMC-1|SCAMC1	solute carrier family 25 member 24	protein-coding	0.00179604395915806	1.25184520842659
