PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	2187352	2187550	+	0	NA	intron (NM_003036, intron 1 of 6)	intron (NM_003036, intron 1 of 6)	27693	NM_003036	6497	Hs.656507	NM_003036	ENSG00000157933	SKI	SGS|SKV	SKI proto-oncogene	protein-coding	0.000256055387170987	-1.68403196470809
2	chr1	3229552	3230100	+	0	NA	intron (NM_199454, intron 3 of 16)	intron (NM_199454, intron 3 of 16)	-141403	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding	0.00800727783186286	-0.883352162484882
3	chr1	3773152	3775050	+	0	NA	promoter-TSS (NM_014704)	promoter-TSS (NM_014704)	61	NM_001320136	1677	Hs.133089	NM_004402	ENSG00000169598	DFFB	CAD|CPAN|DFF-40|DFF2|DFF40	DNA fragmentation factor subunit beta	protein-coding	0.00128695788325108	-1.78962402158006
4	chr1	3816102	3818350	+	0	NA	promoter-TSS (NM_207356)	promoter-TSS (NM_207356)	258	NR_024455	100133612	Hs.307652	NR_024455	ENSG00000236423	LINC01134	-	long intergenic non-protein coding RNA 1134	ncRNA	0.000671859702599937	-0.885764153810409
5	chr1	6051402	6053300	+	0	NA	promoter-TSS (NM_001199861)	promoter-TSS (NM_001199861)	134	NM_015102	261734	Hs.462348	NM_015102	ENSG00000131697	NPHP4	POC10|SLSN4	nephrocystin 4	protein-coding	0.0056577722635469	-2.09852534707632
6	chr1	6295702	6296300	+	0	NA	promoter-TSS (NR_103534)	promoter-TSS (NR_103534)	23	NM_012405	23463	Hs.515688	NM_012405	ENSG00000116237	ICMT	HSTE14|MST098|MSTP098|PCCMT|PCMT|PPMT	isoprenylcysteine carboxyl methyltransferase	protein-coding	0.00139372940361952	-1.27633484077711
7	chr1	6844302	6846350	+	0	NA	promoter-TSS (NR_149049)	promoter-TSS (NR_149049)	-58	NM_001242701	23261	Hs.397705	NM_015215	ENSG00000171735	CAMTA1	CANPMR	calmodulin binding transcription activator 1	protein-coding	0.0016476082090702	-1.33463438947286
8	chr1	8021152	8022100	+	0	NA	promoter-TSS (NM_001123377)	promoter-TSS (NM_001123377)	-88	NM_001123377	11315	Hs.419640	NM_007262	ENSG00000116288	PARK7	DJ-1|DJ1|GATD2|HEL-S-67p	Parkinsonism associated deglycase	protein-coding	0.00238007222582486	-0.917002760512298
9	chr1	8137202	8137600	+	0	NA	Intergenic	Intergenic	-51032	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	0.00603782240138629	-1.62339070905349
10	chr1	8157352	8157900	+	0	NA	Intergenic	Intergenic	-71257	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	0.00716107639560731	-1.02561118578333
11	chr1	9533202	9533450	+	0	NA	Intergenic	Intergenic	-44271	NR_104622	100506022	Hs.131775	NR_104622	ENSG00000284693	LINC02606	-	long intergenic non-protein coding RNA 2606	ncRNA	0.000249461518399685	-2.07807921033232
12	chr1	9599002	9600400	+	0	NA	5' UTR (NM_032315, exon 1 of 7)	5' UTR (NM_032315, exon 1 of 7)	177	NM_032315	84275	Hs.568613	NM_032315	ENSG00000171612	SLC25A33	BMSC-MCP|PNC1	solute carrier family 25 member 33	protein-coding	0.00342099837986382	-1.28997335229559
13	chr1	11865302	11866850	+	0	NA	promoter-TSS (NR_046428)	promoter-TSS (NR_046428)	-77	NM_001256959	1185	Hs.193043	NM_001286	ENSG00000011021	CLCN6	CLC-6	chloride voltage-gated channel 6	protein-coding	0.00456735871626429	-1.09593352314025
14	chr1	11967802	11970000	+	0	NA	TTS (NR_002754)	TTS (NR_002754)	690	NR_002754	26829		NR_002754	ENSG00000199347	RNU5E-1	RNU5E|U5E	RNA, U5E small nuclear 1	snRNA	0.000179260096376343	-1.05380243102842
15	chr1	12289702	12291400	+	0	NA	intron (NM_015378, intron 1 of 69)	CpG	464	NM_018156	55187	Hs.439381	NM_015378	ENSG00000048707	VPS13D	SCAR4	vacuolar protein sorting 13 homolog D	protein-coding	0.00171640393801413	-1.3415441550512
16	chr1	12332202	12332400	+	0	NA	intron (NM_015378, intron 17 of 69)	intron (NM_015378, intron 17 of 69)	42214	NM_018156	55187	Hs.439381	NM_015378	ENSG00000048707	VPS13D	SCAR4	vacuolar protein sorting 13 homolog D	protein-coding	0.00145773093122005	-1.87576601407584
17	chr1	14075202	14076600	+	0	NA	promoter-TSS (NM_001007257)	promoter-TSS (NM_001007257)	-9	NM_001007257	7799	Hs.371823	NM_012231	ENSG00000116731	PRDM2	HUMHOXY1|KMT8|KMT8A|MTB-ZF|RIZ|RIZ1|RIZ2	PR/SET domain 2	protein-coding	0.00181219998133001	-1.26507202612396
18	chr1	15852652	15853850	+	0	NA	promoter-TSS (NM_001287811)	promoter-TSS (NM_001287811)	-57	NM_001287811	23341	Hs.655410	NM_015291	ENSG00000116138	DNAJC16	-	DnaJ heat shock protein family (Hsp40) member C16	protein-coding	0.000970028537316561	-1.02815485629443
19	chr1	17004552	17004800	+	0	NA	Intergenic	Intergenic	-3074	NR_037446	100500876		NR_037446	ENSG00000263811	MIR3675	-	microRNA 3675	ncRNA	0.00877251083736986	-1.86481852435061
20	chr1	21058552	21060100	+	0	NA	promoter-TSS (NM_001103160)	promoter-TSS (NM_001103160)	-130	NM_001103160	400745	Hs.591522	NM_001103160	ENSG00000189410	SH2D5	-	SH2 domain containing 5	protein-coding	0.00114223878157399	-2.15015722277003
21	chr1	29211552	29211850	+	0	NA	Intergenic	Intergenic	-1902	NM_001166005	2035	Hs.175437	NM_004437	ENSG00000159023	EPB41	4.1R|EL1|HE	erythrocyte membrane protein band 4.1	protein-coding	8.45193794973259e-05	-1.80605692113237
22	chr1	29507702	29509200	+	0	NA	promoter-TSS (NM_005626)	promoter-TSS (NM_005626)	-39	NM_005626	6429	Hs.469970	NM_005626	ENSG00000116350	SRSF4	SFRS4|SRP75	serine and arginine rich splicing factor 4	protein-coding	2.44811409404449e-05	-1.1076588535016
23	chr1	31255252	31256050	+	0	NA	Intergenic	MIR3|SINE|MIR	-25030	NM_006762	7805	Hs.371021	NM_006762	ENSG00000162511	LAPTM5	CLAST6	lysosomal protein transmembrane 5	protein-coding	0.000752734657720276	-1.5534176932186
24	chr1	31625352	31625500	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-86862	NM_014676	9698	Hs.281707	NM_014676	ENSG00000134644	PUM1	HSPUM|PUMH|PUMH1|PUML1|SCA47	pumilio RNA binding family member 1	protein-coding	4.48732474526199e-05	-2.52006198976277
25	chr1	31643752	31643900	+	0	NA	Intergenic	Intergenic	68908	NM_024522	79570	Hs.470259	NM_024522	ENSG00000084628	NKAIN1	FAM77C	sodium/potassium transporting ATPase interacting 1	protein-coding	0.00372585562638248	-1.43236229966294
26	chr1	31769302	31770250	+	0	NA	promoter-TSS (NM_016505)	promoter-TSS (NM_016505)	-53	NM_001282573	51538	Hs.524094	NM_016505	ENSG00000121766	ZCCHC17	HSPC251|PS1D|pNO40	zinc finger CCHC-type containing 17	protein-coding	0.00536468750866072	-0.875133954221312
27	chr1	33336252	33336550	+	0	NA	promoter-TSS (NM_001171940)	promoter-TSS (NM_001171940)	13	NM_001171940	252995	Hs.524234	NM_153756	ENSG00000160097	FNDC5	FRCP2|irisin	fibronectin type III domain containing 5	protein-coding	0.00363342830705171	-2.06246413262367
28	chr1	35228202	35229600	+	0	NA	TTS (NM_153212)	TTS (NM_153212)	3560	NM_153212	127534	Hs.351203	NM_153212	ENSG00000189433	GJB4	CX30.3|EKV|EKVP2	gap junction protein beta 4	protein-coding	2.26798666712343e-06	-2.31497357761305
29	chr1	39649352	39649900	+	0	NA	intron (NM_012090, intron 1 of 92)	intron (NM_012090, intron 1 of 92)	99787	NM_012090	23499	Hs.472475	NM_012090	ENSG00000127603	MACF1	ABP620|ACF7|LIS9|MACF|OFC4	microtubule actin crosslinking factor 1	protein-coding	2.26301809993867e-05	-1.68029565675032
30	chr1	45186752	45188000	+	0	NA	TTS (NR_002753)	TTS (NR_002753)	197	NR_002753	26828		NR_002753	ENSG00000199377	RNU5F-1	RNU5F|U5F	RNA, U5F small nuclear 1	snRNA	0.00907374407305338	-0.913142962167494
31	chr1	45265352	45266650	+	0	NA	promoter-TSS (NM_004073)	promoter-TSS (NM_004073)	-48	NM_004073	1263	Hs.632415	NM_004073	ENSG00000173846	PLK3	CNK|FNK|PLK-3|PRK	polo like kinase 3	protein-coding	0.00924216403883191	-1.32631478358451
32	chr1	45272652	45273700	+	0	NA	promoter-TSS (NM_001013632)	promoter-TSS (NM_001013632)	-219	NM_001013632	343521	Hs.585137	NM_001013632	ENSG00000188396	TCTEX1D4	-	Tctex1 domain containing 4	protein-coding	0.00307754728392174	-1.19815574739509
33	chr1	52023802	52024800	+	0	NA	Intergenic	LTR8|LTR|ERV1	25102	NR_161259	441884		NR_161259		CALR4P	-	calreticulin 4, pseudogene	pseudo	0.00531093273245247	-1.18825311806511
34	chr1	55679452	55681650	+	0	NA	promoter-TSS (NR_038320)	promoter-TSS (NR_038320)	486	NM_015306	23358	Hs.477009	NM_015306	ENSG00000162402	USP24	-	ubiquitin specific peptidase 24	protein-coding	0.00643685753162556	-0.819586889243878
35	chr1	55894552	55895450	+	0	NA	Intergenic	Intergenic	203687	NR_039618	100616272		NR_039618	ENSG00000265822	MIR4422	mir-4422	microRNA 4422	ncRNA	0.00754518688801761	-0.848818545119478
36	chr1	59192902	59193550	+	0	NA	Intergenic	Intergenic	-27492	NM_001085487	114803	Hs.744921	NM_001085487	ENSG00000162601	MYSM1	2A-DUB|2ADUB|BMFS4	Myb like, SWIRM and MPN domains 1	protein-coding	3.61839928031202e-08	-1.70172185663746
