PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	6094552	6094800	+	0	NA	promoter-TSS (NM_001199860)	promoter-TSS (NM_001199860)	-72	NM_001199860	8514	Hs.440497	NM_003636	ENSG00000069424	KCNAB2	AKR6A5|HKvbeta2|HKvbeta2.1|HKvbeta2.2|KCNA2B|KV-BETA-2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	protein-coding	0.00246432450298538	-1.2505588235861
2	chr1	32149752	32149850	+	0	NA	exon (NM_001856, exon 32 of 71)	exon (NM_001856, exon 32 of 71)	19817	NM_001856	1307	Hs.368921	NM_001856	ENSG00000084636	COL16A1	447AA|FP1572	collagen type XVI alpha 1 chain	protein-coding	0.00953661478623243	-1.1410049891118
3	chr1	48937502	48938250	+	0	NA	promoter-TSS (NM_001286239)	promoter-TSS (NM_001286239)	0	NM_001286238	54558	Hs.538103	NM_019073	ENSG00000132122	SPATA6	HASH|SRF-1|SRF1	spermatogenesis associated 6	protein-coding	2.18684638999244e-08	1.33699597427358
4	chr1	75198252	75200100	+	0	NA	promoter-TSS (NM_001130043)	promoter-TSS (NM_001130043)	-84	NM_001130043	1429	Hs.83114	NM_001889	ENSG00000116791	CRYZ	-	crystallin zeta	protein-coding	0.00615483172895331	1.02154920832439
5	chr1	76251252	76252450	+	0	NA	promoter-TSS (NR_073562)	promoter-TSS (NR_073562)	-28	NR_073562	5876	Hs.78948	NM_004582	ENSG00000137955	RABGGTB	GGTB	Rab geranylgeranyltransferase subunit beta	protein-coding	0.00631653367755064	1.08856488805426
6	chr1	78469152	78471050	+	0	NA	promoter-TSS (NM_001317103)	promoter-TSS (NM_001317103)	-411	NM_001317103	11080	Hs.13852	NM_007034	ENSG00000162616	DNAJB4	DNAJW|DjB4|HLJ1	DnaJ heat shock protein family (Hsp40) member B4	protein-coding	2.51964405358147e-06	1.63340370382166
7	chr1	97432152	97432650	+	0	NA	Intergenic	L1PA11|LINE|L1	-129078	NR_046590	100873932	Hs.682651	NR_046590	ENSG00000232878	DPYD-AS1	-	DPYD antisense RNA 1	ncRNA	0.00644593345017186	1.59563810071803
8	chr1	110752502	110753850	+	0	NA	promoter-TSS (NR_046546)	promoter-TSS (NR_046546)	240	NM_004978	3749	Hs.153521	NM_004978	ENSG00000116396	KCNC4	C1orf30|HKSHIIIC|KSHIIIC|KV3.4	potassium voltage-gated channel subfamily C member 4	protein-coding	0.00471159998607724	-0.903207498207898
9	chr1	112794302	112794950	+	0	NA	Intergenic	Intergenic	-144210	NM_018704	55917	Hs.744100	NM_018704	ENSG00000143079	CTTNBP2NL	-	CTTNBP2 N-terminal like	protein-coding	8.51523484475393e-05	-1.149273524534
10	chr1	151299752	151300350	+	0	NA	promoter-TSS (NM_001330721)	promoter-TSS (NM_001330721)	140	NM_001369629	5298	Hs.632465	NM_002651	ENSG00000143393	PI4KB	NPIK|PI4K-BETA|PI4K92|PI4KBETA|PI4KIIIBETA|PIK4CB	phosphatidylinositol 4-kinase beta	protein-coding	0.00828786197023342	1.54345666340727
11	chr1	161500102	161501200	+	0	NA	Intergenic	CpG	6321	NM_002155	3310	Hs.654614	NM_002155	ENSG00000173110	HSPA6	HSP70B'	heat shock protein family A (Hsp70) member 6	protein-coding	0.0019871724117665	1.04738536058381
12	chr1	169336402	169338150	+	0	NA	promoter-TSS (NM_001320973)	promoter-TSS (NM_001320973)	-75	NR_104229	29922	Hs.706952	NM_013330	ENSG00000143156	NME7	CFAP67|MN23H7|NDK 7|NDK7|nm23-H7	NME/NM23 family member 7	protein-coding	0.00723075994377438	0.783257592251225
13	chr1	170043252	170044450	+	0	NA	promoter-TSS (NM_001204514)	promoter-TSS (NM_001204514)	-15	NM_014970	22920	Hs.433442	NM_014970	ENSG00000075945	KIFAP3	FLA3|KAP-1|KAP-3|KAP3|SMAP|Smg-GDS|dJ190I16.1	kinesin associated protein 3	protein-coding	0.000656552733748905	1.36688914714814
14	chr1	171453952	171455900	+	0	NA	intron (NM_015172, intron 1 of 33)	CpG	257	NM_015172	23215	Hs.494614	NM_015172	ENSG00000117523	PRRC2C	BAT2-iso|BAT2D1|BAT2L2|XTP2	proline rich coiled-coil 2C	protein-coding	0.00672493749399595	0.835315407145934
15	chr1	172795252	172795400	+	0	NA	Intergenic	Intergenic	167083	NM_000639	356	Hs.2007	NM_000639	ENSG00000117560	FASLG	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A	Fas ligand	protein-coding	0.00978412981380539	1.23377860211123
16	chr1	173092252	173092850	+	0	NA	Intergenic	Intergenic	-72448	NM_005092	8995	Hs.248197	NM_005092	ENSG00000120337	TNFSF18	AITRL|GITRL|TL6|TNLG2A|hGITRL	TNF superfamily member 18	protein-coding	7.94253101773896e-07	1.81708278507852
17	chr1	173171652	173171750	+	0	NA	intron (NM_003326, intron 1 of 2)	intron (NM_003326, intron 1 of 2)	2970	NM_001297562	7292	Hs.181097	NM_003326	ENSG00000117586	TNFSF4	CD134L|CD252|GP34|OX-40L|OX4OL|TNLG2B|TXGP1	TNF superfamily member 4	protein-coding	0.00977465776330808	1.48169149401951
18	chr1	174768552	174769650	+	0	NA	5' UTR (NM_001366456, exon 1 of 8)	5' UTR (NM_001366456, exon 1 of 8)	225	NM_001243765	9910	Hs.585378	NM_014857	ENSG00000152061	RABGAP1L	HHL|TBC1D18	RAB GTPase activating protein 1 like	protein-coding	0.00565807903666845	1.48943114579421
