PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	954552	955700	+	0	NA	promoter-TSS (NM_001305275)	promoter-TSS (NM_001305275)	-374	NM_198576	375790	Hs.273330	NM_198576	ENSG00000188157	AGRN	AGRIN|CMS8|CMSPPD	agrin	protein-coding	0.00553696696197029	1.03981428799153
2	chr1	1850352	1851350	+	0	NA	promoter-TSS (NM_178545)	promoter-TSS (NM_178545)	-133	NM_178545	339456	Hs.123423	NM_178545	ENSG00000178821	TMEM52	-	transmembrane protein 52	protein-coding	0.00313770777871904	1.41540978246414
3	chr1	3773152	3775050	+	0	NA	promoter-TSS (NM_014704)	promoter-TSS (NM_014704)	61	NM_001320136	1677	Hs.133089	NM_004402	ENSG00000169598	DFFB	CAD|CPAN|DFF-40|DFF2|DFF40	DNA fragmentation factor subunit beta	protein-coding	0.000151723183949865	-0.873478024981237
4	chr1	6217202	6218450	+	0	NA	intron (NM_015557, intron 3 of 41)	intron (NM_015557, intron 3 of 41)	22555	NM_015557	26038	Hs.522898	NM_015557	ENSG00000116254	CHD5	CHD-5	chromodomain helicase DNA binding protein 5	protein-coding	0.000243852060899877	-1.16637965142902
5	chr1	8144002	8144350	+	0	NA	Intergenic	Intergenic	-57807	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	0.00449149290753134	-1.22556058603165
6	chr1	8242252	8242850	+	0	NA	Intergenic	Intergenic	-26181	NR_125998	102724539	Hs.516816	NR_125998	ENSG00000227634	LINC01714	-	long intergenic non-protein coding RNA 1714	ncRNA	0.000726996841315122	-1.3508445546693
7	chr1	11967802	11970000	+	0	NA	TTS (NR_002754)	TTS (NR_002754)	690	NR_002754	26829		NR_002754	ENSG00000199347	RNU5E-1	RNU5E|U5E	RNA, U5E small nuclear 1	snRNA	1.30469318008653e-09	-1.27308062204113
8	chr1	16678502	16679400	+	0	NA	promoter-TSS (NM_018994)	promoter-TSS (NM_018994)	24	NM_018994	54455	Hs.522384	NM_018994	ENSG00000037637	FBXO42	Fbx42|JFK	F-box protein 42	protein-coding	0.00365501368356129	1.38313204226016
9	chr1	17222052	17223300	+	0	NA	TTS (NR_004400).4	TTS (NR_004400).4	201	NR_004430	26871		NR_004430	ENSG00000206652	RNU1-1	HSD1|HU1-1|RNU1|RNU1A|RNU1A3|RNU1G4|Rnu1a1|U1|U1A1	RNA, U1 small nuclear 1	snRNA	0.00314889815711636	-1.38974102847776
10	chr1	17230352	17232250	+	0	NA	Intergenic	CpG	8826	NR_004430	26871		NR_004430	ENSG00000206652	RNU1-1	HSD1|HU1-1|RNU1|RNU1A|RNU1A3|RNU1G4|Rnu1a1|U1|U1A1	RNA, U1 small nuclear 1	snRNA	3.44810007980428e-10	-1.6595953268735
