PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	1227302	1227500	+	0	NA	TTS (NR_037668)	TTS (NR_037668)	4149	NR_106784	102465434		NR_106784	ENSG00000278073	MIR6726	hsa-mir-6726	microRNA 6726	ncRNA	0.00761516895507787	-1.09276024668821
2	chr1	1850352	1851350	+	0	NA	promoter-TSS (NM_178545)	promoter-TSS (NM_178545)	-133	NM_178545	339456	Hs.123423	NM_178545	ENSG00000178821	TMEM52	-	transmembrane protein 52	protein-coding	0.00555666995762671	-0.567154662014139
3	chr1	2130652	2131250	+	0	NA	5' UTR (NM_001282670, exon 4 of 8)	5' UTR (NM_001282670, exon 4 of 8)	-4737	NR_046427	199990	Hs.107101	NM_182533	ENSG00000162585	FAAP20	C1orf86|FP7162	FA core complex associated protein 20	protein-coding	0.00605890227667077	-0.640051986833794
4	chr1	2313252	2313500	+	0	NA	intron (NR_125361, intron 5 of 6)	intron (NR_125361, intron 5 of 6)	9617	NR_125361	79906	Hs.642701	NM_024848	ENSG00000116151	MORN1	-	MORN repeat containing 1	protein-coding	0.00407640943123572	-0.939045382219504
5	chr1	2718202	2718450	+	0	NA	promoter-TSS (NM_001242672)	promoter-TSS (NM_001242672)	-893	NM_001242672	100287898	Hs.632363	NM_001242672	ENSG00000215912	TTC34	-	tetratricopeptide repeat domain 34	protein-coding	0.00544954559327812	-0.91571031932556
6	chr1	2838702	2838900	+	0	NA	Intergenic	Intergenic	-99230	NM_080431	140625	Hs.236635	NM_080431	ENSG00000169717	ACTRT2	ARPM2|ARPT2|Arp-T2|HARPM2	actin related protein T2	protein-coding	0.00724432706228836	-0.974332015506361
7	chr1	3229552	3230100	+	0	NA	intron (NM_199454, intron 3 of 16)	intron (NM_199454, intron 3 of 16)	-141403	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding	0.000308201117675224	-0.87806824566867
8	chr1	3236502	3236750	+	0	NA	intron (NM_199454, intron 3 of 16)	intron (NM_199454, intron 3 of 16)	-134603	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding	0.000914177602459738	-1.20475603037579
9	chr1	3702102	3702250	+	0	NA	intron (NM_020710, intron 2 of 6)	intron (NM_020710, intron 2 of 6)	10886	NM_020710	57470	Hs.268488	NM_020710	ENSG00000130764	LRRC47	-	leucine rich repeat containing 47	protein-coding	0.00261375541517445	-1.38699178153028
10	chr1	3773152	3775050	+	0	NA	promoter-TSS (NM_014704)	promoter-TSS (NM_014704)	61	NM_001320136	1677	Hs.133089	NM_004402	ENSG00000169598	DFFB	CAD|CPAN|DFF-40|DFF2|DFF40	DNA fragmentation factor subunit beta	protein-coding	0.00285378985842736	-0.564564948292128
11	chr1	3816102	3818350	+	0	NA	promoter-TSS (NM_207356)	promoter-TSS (NM_207356)	258	NR_024455	100133612	Hs.307652	NR_024455	ENSG00000236423	LINC01134	-	long intergenic non-protein coding RNA 1134	ncRNA	6.58711728693327e-06	-0.735270592636392
12	chr1	3827352	3827850	+	0	NA	intron (NR_024455, intron 2 of 3)	intron (NR_024455, intron 2 of 3)	10633	NR_024455	100133612	Hs.307652	NR_024455	ENSG00000236423	LINC01134	-	long intergenic non-protein coding RNA 1134	ncRNA	1.72571736214405e-05	-1.05804372331764
13	chr1	5574702	5574900	+	0	NA	Intergenic	Intergenic	348000	NR_039838	100616421		NR_039838	ENSG00000264101	MIR4689	mir-4689	microRNA 4689	ncRNA	0.00679114714836496	-0.959754493683116
14	chr1	5805902	5806200	+	0	NA	Intergenic	Intergenic	116750	NR_039838	100616421		NR_039838	ENSG00000264101	MIR4689	mir-4689	microRNA 4689	ncRNA	0.000262537128760524	-0.968274161639783
15	chr1	6035252	6035550	+	0	NA	intron (NM_001291594, intron 1 of 25)	intron (NM_001291594, intron 1 of 25)	17084	NM_015102	261734	Hs.462348	NM_015102	ENSG00000131697	NPHP4	POC10|SLSN4	nephrocystin 4	protein-coding	0.000148379551723093	-1.08493748948535
16	chr1	6094552	6094800	+	0	NA	promoter-TSS (NM_001199860)	promoter-TSS (NM_001199860)	-72	NM_001199860	8514	Hs.440497	NM_003636	ENSG00000069424	KCNAB2	AKR6A5|HKvbeta2|HKvbeta2.1|HKvbeta2.2|KCNA2B|KV-BETA-2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	protein-coding	0.00081668707474958	-1.22036263254602
17	chr1	6101602	6101750	+	0	NA	intron (NM_172130, intron 2 of 14)	intron (NM_172130, intron 2 of 14)	-4272	NM_001199863	8514	Hs.440497	NM_003636	ENSG00000069424	KCNAB2	AKR6A5|HKvbeta2|HKvbeta2.1|HKvbeta2.2|KCNA2B|KV-BETA-2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	protein-coding	0.001556485001376	-1.36027273231458
18	chr1	6168952	6169250	+	0	NA	intron (NM_015557, intron 38 of 41)	intron (NM_015557, intron 38 of 41)	63153	NM_001199862	8514	Hs.440497	NM_003636	ENSG00000069424	KCNAB2	AKR6A5|HKvbeta2|HKvbeta2.1|HKvbeta2.2|KCNA2B|KV-BETA-2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	protein-coding	0.00185149447193968	-1.00467448049872
19	chr1	6217202	6218450	+	0	NA	intron (NM_015557, intron 3 of 41)	intron (NM_015557, intron 3 of 41)	22555	NM_015557	26038	Hs.522898	NM_015557	ENSG00000116254	CHD5	CHD-5	chromodomain helicase DNA binding protein 5	protein-coding	7.72440623328108e-05	-0.846200437320366
